Time (t),[Measured] Current Position ~ r(t) (m)_X,[Measured] Current Position ~ r(t) (m)_Y,[Measured] Steering Angles ~ delta(t) (deg)_FL,[Measured] Steering Angles ~ delta(t) (deg)_FR,[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle ~ Theta(t) (deg),[Computed] Rotation direction ~ (CW/CCW),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta(t) (deg),[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_X,[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_Y,[Computed] Current Error to Trajectory ~ e(t),[Computed] Predicted Position ~ r_tp(t) (m)_X,[Computed] Predicted Position ~ r_tp(t) (m)_Y,[Computed] Change of Yaw Angle ~ Delta_phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1741762545.4303193,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360786938108504,-18.329964089440182,8.487578967041934e-11,49.97168350228214,0.003921470616665349,0.1123418579097444,3.8472608349698904e-06
1741762545.4786024,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.036078772507608,-18.329963995376602,8.722903050692276e-11,49.9716835022845,0.003921392785732838,0.11233962821777019,3.847184476907401e-06
1741762545.5259337,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360787883400917,-18.32996397721581,8.769526922897033e-11,49.97168350228496,0.003921377120704103,0.11233917944775396,3.847169108323158e-06
1741762545.5732088,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360787007957697,-18.32996408129111,8.509462350513065e-11,49.97168350228236,0.00392146370667201,0.11234165995301701,3.84725405574104e-06
1741762545.629853,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.036078771110624,-18.329963997472078,8.71833133335355e-11,49.97168350228445,0.003921394163418581,0.11233966768555946,3.847185828521864e-06
1741762545.6830623,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360771627165377,-18.32996591227129,3.949522522658136e-11,49.971683502236765,0.003922985384343213,0.11238525280718663,3.84874693723376e-06
1741762545.7307072,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.036079493816942,-18.32996313716285,1.0859226054154683e-10,49.97168350230586,0.003920679481946866,0.11231919356954673,3.846484671658946e-06
1741762545.7781692,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360790705308318,-18.32996364077553,9.60649851056652e-11,49.97168350229333,0.00392109804715409,0.11233118457945922,3.846895315951878e-06
1741762545.8244276,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360785350203514,-18.329964278265834,8.017639619362621e-11,49.97168350227744,0.003921627675965977,0.11234635732727404,3.847414922085451e-06
1741762545.8727384,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.036078826058656,-18.329963932046667,8.880593195329805e-11,49.971683502286076,0.003921339818930926,0.11233811083066825,3.8471325124475165e-06
1741762545.9153607,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360790165141225,-18.32996370526962,9.44448016007337e-11,49.97168350229171,0.003921151464044421,0.11233271486064456,3.8469477219827236e-06
1741762545.9647398,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360789359547198,-18.329963801428676,9.207827948294726e-11,49.971683502289345,0.003921231131131567,0.11233499715457433,3.847025881452518e-06
1741762546.0132244,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.036079057957977,-18.329963656142354,9.56704837693598e-11,49.97168350229294,0.00392111047700671,0.11233154066850677,3.846907510582374e-06
1741762546.0582807,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360789350233972,-18.32996380236,9.203961183981332e-11,49.9716835022893,0.003921232053817131,0.11233502358756864,3.84702678667721e-06
1741762546.1073866,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.036078899167478,-18.329963845433667,9.096843962567034e-11,49.971683502288236,0.0039212675108274515,0.1123360393560914,3.847061572700227e-06
1741762546.151344,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360788945108652,-18.32996385032311,9.084398256087247e-11,49.97168350228811,0.003921272122164224,0.1123361714611589,3.8470660967722135e-06
1741762546.1984632,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.036078623495996,-18.329964173259214,8.281576282989627e-11,49.97168350228008,0.003921540161914727,0.11234385023438166,3.847329064147244e-06
1741762546.2460809,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360789308324456,-18.32996380724944,9.192027417500601e-11,49.97168350228918,0.003921236199457859,0.11233514235142719,3.847030853865969e-06
1741762546.2938209,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360785769298673,-18.329964228207245,8.142939613200266e-11,49.971683502278694,0.003921586224492107,0.11234516983002035,3.847374255037916e-06
1741762546.3391745,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360784158110619,-18.329964420525357,7.663208189119399e-11,49.9716835022739,0.003921745587100933,0.11234973523246931,3.847530601873945e-06
1741762546.3854272,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360788996331394,-18.329963844036683,9.098433916980218e-11,49.97168350228825,0.003921267058066571,0.11233602638544761,3.847061128507378e-06
1741762546.432108,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360787529498339,-18.329964018892497,8.663626141889192e-11,49.9716835022839,0.003921412126840774,0.1123401822996981,3.847203452004843e-06
1741762546.4805808,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360788046382368,-18.329963957425207,8.817077649441602e-11,49.97168350228544,0.003921361005099047,0.11233871776967694,3.847153297689285e-06
1741762546.5263355,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.036078707780689,-18.329964073142037,8.529075590215709e-11,49.97168350228256,0.003921456796695871,0.11234146199678235,3.847247276529064e-06
1741762546.5743036,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.036078664008528,-18.3299641252961,8.400565844654619e-11,49.97168350228127,0.003921500089556768,0.11234270224588858,3.847289750117277e-06
1741762546.6180642,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360789624974132,-18.329963769530877,9.284929734604728e-11,49.97168350229011,0.003921204884163214,0.11233424523431851,3.847000131180936e-06
1741762546.668039,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360790947452188,-18.329963612137362,9.67794687008721e-11,49.97168350229404,0.003921074099467986,0.11233049852878778,3.846871821451002e-06
1741762546.7134116,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360788935795426,-18.329963851254433,9.081608534119009e-11,49.97168350228808,0.003921273044861598,0.11233619789449155,3.847067002008493e-06
1741762546.7627702,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360790346749127,-18.3299636838492,9.498697286453889e-11,49.97168350229225,0.003921133502362048,0.11233220029634808,3.84693010020664e-06
1741762546.809835,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.036078809760511,-18.32996395137161,8.832662338334136e-11,49.97168350228559,0.003921355938686689,0.11233857262765425,3.847148327153548e-06
1741762546.855076,1.0360758304595947,-18.329967498779297,0.0,0.0,49.971683502197266,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300736.478566359,1932466.3614601584,0.003924304130822673,1.0360787445679307,-18.329964029137045,8.638074179999768e-11,49.971683502283646,0.003921420414405331,0.11234041972093389,3.8472115827358e-06
