brake_input,camera_location_0,camera_location_1,camera_location_2,camera_rotation_0,camera_rotation_1,camera_rotation_2,current_gear_input,focus_actor_dist,focus_actor_name,focus_actor_pt_0,focus_actor_pt_1,focus_actor_pt_2,frame,frame_number,framesequence,gaze_dir_0,gaze_dir_1,gaze_dir_2,gaze_origin_0,gaze_origin_1,gaze_origin_2,gaze_valid,gaze_vergence,handbrake_input,left_eye_openness,left_eye_openness_valid,left_gaze_dir_0,left_gaze_dir_1,left_gaze_dir_2,left_gaze_origin_0,left_gaze_origin_1,left_gaze_origin_2,left_gaze_valid,left_pupil_diam,left_pupil_posn_0,left_pupil_posn_1,left_pupil_posn_valid,right_eye_openness,right_eye_openness_valid,right_gaze_dir_0,right_gaze_dir_1,right_gaze_dir_2,right_gaze_origin_0,right_gaze_origin_1,right_gaze_origin_2,right_gaze_valid,right_pupil_diam,right_pupil_posn_0,right_pupil_posn_1,right_pupil_posn_valid,steering_input,throttle_input,timestamp,timestamp_carla,timestamp_device,timestamp_stream,transform_0_0,transform_0_1,transform_0_2,transform_1_0,transform_1_1,transform_1_2,Location_0,Location_1,Location_2,Rotation_0,Rotation_1,Rotation_2,Velocity_0,Velocity_1,Velocity_2,Acceleration_0,Acceleration_1,Acceleration_2,AngularVelocity_0,AngularVelocity_1,AngularVelocity_2,FL_Wheel_Angle,FR_Wheel_Angle,BL_Wheel_Angle,BR_Wheel_Angle
0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1165.17333984375,Road_Grass_Town05_125,33.97633361816406,-1615.469970703125,16.6402587890625,3887,3887,3885,0.9805806875228882,0.16600960493087769,0.10441423207521439,0.0,0.0,0.0,True,0.0,False,0.0,False,0.9805806875228882,0.16600960493087769,0.10441423207521439,0.0,-5.0,0.0,False,0.0,0.0,0.0,False,0.0,False,0.9805806875228882,0.16600960493087769,0.10441423207521439,0.0,5.0,0.0,False,0.0,0.0,0.0,False,-1.831110603234265e-05,0.0,19.728740606456995,19728,19411,19.728740606456995,0.009797515347599983,-0.003640136681497097,0.1649172306060791,-0.057940490543842316,-0.02763465791940689,0.012932284735143185,1.036085605621338,-18.3299560546875,0.16800682246685028,-0.04714879393577576,49.972434997558594,-0.0360717810690403,4.60367618870805e-06,2.0201085249027528e-07,0.0001138739098678343,-4.187647937214933e-05,-3.711861791089177e-05,-0.05403606593608856,-1.3329177818377502e-05,3.9013619243633e-05,-1.1135158501929254e-06,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1165.174560546875,Road_Grass_Town05_125,34.8458251953125,-1615.1883544921875,16.63916015625,3888,3888,3886,0.9805806875228882,0.16559064388275146,0.10507738590240479,0.0,0.0,0.0,True,0.0,False,0.0,False,0.9805806875228882,0.16559064388275146,0.10507738590240479,0.0,-5.0,0.0,False,0.0,0.0,0.0,False,0.0,False,0.9805806875228882,0.16559064388275146,0.10507738590240479,0.0,5.0,0.0,False,0.0,0.0,0.0,False,-1.831110603234265e-05,0.0,19.732652109116316,19732,19415,19.732652109116316,0.009797515347599983,-0.003640136681497097,0.1649172306060791,-0.057940490543842316,-0.02763465791940689,0.012932284735143185,1.036085605621338,-18.3299560546875,0.16800560057163239,-0.04714879393577576,49.972434997558594,-0.0360717810690403,4.765675384987844e-06,3.3155549772345694e-07,0.0003061642055399716,-6.344883786368882e-06,1.5733339751022868e-05,0.008234578184783459,-3.181901411153376e-05,-2.060662882286124e-05,-3.83620232469184e-07,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1165.17529296875,Road_Grass_Town05_125,35.71648406982422,-1614.9102783203125,16.6385498046875,3889,3889,3887,0.9805806875228882,0.16516904532909393,0.10573885589838028,0.0,0.0,0.0,True,0.0,False,0.0,False,0.9805806875228882,0.16516904532909393,0.10573885589838028,0.0,-5.0,0.0,False,0.0,0.0,0.0,False,0.0,False,0.9805806875228882,0.16516904532909393,0.10573885589838028,0.0,5.0,0.0,False,0.0,0.0,0.0,False,-1.831110603234265e-05,0.0,19.73672880604863,19736,19419,19.73672880604863,0.009797515347599983,-0.003640136681497097,0.1649172306060791,-0.057940490543842316,-0.02763465791940689,0.012932284735143185,1.036085605621338,-18.3299560546875,0.16799166798591614,-0.04714879393577576,49.972434997558594,-0.0360717810690403,4.815717602468794e-06,3.195146405232663e-07,0.00038478244096040726,0.00022607903520110995,9.519380546407774e-05,0.18862709403038025,-3.1380455766338855e-05,-2.1475201720022596e-05,-1.1554477623576531e-06,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1165.1763916015625,Road_Grass_Town05_125,36.58820343017578,-1614.6357421875,16.637451171875,3890,3890,3888,0.9805806875228882,0.16485105454921722,0.10623392462730408,0.0,0.0,0.0,True,0.0,False,0.0,False,0.9805806875228882,0.16485105454921722,0.10623392462730408,0.0,-5.0,0.0,False,0.0,0.0,0.0,False,0.0,False,0.9805806875228882,0.16485105454921722,0.10623392462730408,0.0,5.0,0.0,False,0.0,0.0,0.0,False,-1.831110603234265e-05,0.0,19.74011980742216,19740,19422,19.74011980742216,0.009797515347599983,-0.003640136681497097,0.16491857171058655,-0.057940490543842316,-0.02763465791940689,0.012932284735143185,1.036085605621338,-18.3299560546875,0.16800250113010406,-0.04714879393577576,49.972434997558594,-0.0360717810690403,4.800513579539256e-06,3.737641804946179e-07,0.00035042333183810115,-4.681801874539815e-05,2.1672523871529847e-05,-0.022012636065483093,-3.327311060274951e-05,-2.0287727238610387e-05,-1.291192717189915e-07,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1165.1771240234375,Road_Grass_Town05_125,37.242835998535156,-1614.431884765625,16.63671875,3891,3891,3889,0.9805806875228882,0.1644248366355896,0.106892429292202,0.0,0.0,0.0,True,0.0,False,0.0,False,0.9805806875228882,0.1644248366355896,0.106892429292202,0.0,-5.0,0.0,False,0.0,0.0,0.0,False,0.0,False,0.9805806875228882,0.1644248366355896,0.106892429292202,0.0,5.0,0.0,False,0.0,0.0,0.0,False,-1.831110603234265e-05,0.0,19.743638709187508,19743,19426,19.743638709187508,0.009797515347599983,-0.003640136681497097,0.1649196743965149,-0.057940490543842316,-0.02763465791940689,0.012932284735143185,1.036085605621338,-18.3299560546875,0.16800639033317566,-0.04714879393577576,49.972434997558594,-0.0360717810690403,4.858558440901106e-06,3.670610055905854e-07,0.0003616922185756266,4.796443317900412e-05,3.2607727007416543e-06,0.025437621399760246,-3.9620976167498156e-05,-5.650378443533555e-05,4.5972285533935064e-07,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1165.1783447265625,Road_Grass_Town05_125,38.11646270751953,-1614.1634521484375,16.6356201171875,3892,3892,3890,0.9805806875228882,0.16410338878631592,0.10738526284694672,0.0,0.0,0.0,True,0.0,False,0.0,False,0.9805806875228882,0.16410338878631592,0.10738526284694672,0.0,-5.0,0.0,False,0.0,0.0,0.0,False,0.0,False,0.9805806875228882,0.16410338878631592,0.10738526284694672,0.0,5.0,0.0,False,0.0,0.0,0.0,False,-1.831110603234265e-05,0.0,19.746863808482885,19746,19429,19.746863808482885,0.009797515347599983,-0.003640136681497097,0.16492104530334473,-0.057940490543842316,-0.02763465791940689,0.012932284735143185,1.036085605621338,-18.3299560546875,0.16800613701343536,-0.04714879393577576,49.972434997558594,-0.0360717810690403,4.755460849992232e-06,3.8546858149857144e-07,0.00029644861933775246,-1.0667771675798576e-05,3.655434920801781e-05,0.012233905494213104,-3.827045293292031e-05,-5.3404415666591376e-05,5.991611260469654e-07,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1165.1790771484375,Road_Grass_Town05_125,38.772499084472656,-1613.96435546875,16.635009765625,3893,3893,3891,0.9805806875228882,0.1635645031929016,0.10820429772138596,0.0,0.0,0.0,True,0.0,False,0.0,False,0.9805806875228882,0.1635645031929016,0.10820429772138596,0.0,-5.0,0.0,False,0.0,0.0,0.0,False,0.0,False,0.9805806875228882,0.1635645031929016,0.10820429772138596,0.0,5.0,0.0,False,0.0,0.0,0.0,False,-1.831110603234265e-05,0.0,19.75181530788541,19751,19434,19.75181530788541,0.009797515347599983,-0.003640136681497097,0.16491861641407013,-0.057940490543842316,-0.02763465791940689,0.012932284735143185,1.036085605621338,-18.3299560546875,0.16800323128700256,-0.04714879393577576,49.972434997558594,-0.0360717810690403,4.78174524687347e-06,2.9905348242209584e-07,0.00022745385649614036,7.609394378960133e-05,3.4178463010903215e-06,0.03587064892053604,-1.0968940841848962e-05,4.3775620724773034e-05,2.17342829955669e-07,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1165.1805419921875,Road_Grass_Town05_125,39.866920471191406,-1613.6368408203125,16.6336669921875,3894,3894,3892,0.9805806875228882,0.16302131116390228,0.10902094095945358,0.0,0.0,0.0,True,0.0,False,0.0,False,0.9805806875228882,0.16302131116390228,0.10902094095945358,0.0,-5.0,0.0,False,0.0,0.0,0.0,False,0.0,False,0.9805806875228882,0.16302131116390228,0.10902094095945358,0.0,5.0,0.0,False,0.0,0.0,0.0,False,-1.831110603234265e-05,0.0,19.756395906209946,19756,19439,19.756395906209946,0.009797515347599983,-0.003640136681497097,0.16491754353046417,-0.057940490543842316,-0.02763465791940689,0.012932284735143185,1.036085605621338,-18.3299560546875,0.1679890751838684,-0.04714879393577576,49.972434997558594,-0.0360717810690403,4.540919235296315e-06,2.026406491495436e-07,0.00015917402924969792,0.0005876203067600727,0.00023339134349953383,0.5109561681747437,4.784640623256564e-05,-9.141172085946891e-06,-1.4604414673158317e-06,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1165.1815185546875,Road_Grass_Town05_125,40.96343231201172,-1613.31494140625,16.6324462890625,3895,3895,3893,0.9805806875228882,0.16247427463531494,0.10983455181121826,0.0,0.0,0.0,True,0.0,False,0.0,False,0.9805806875228882,0.16247427463531494,0.10983455181121826,0.0,-5.0,0.0,False,0.0,0.0,0.0,False,0.0,False,0.9805806875228882,0.16247427463531494,0.10983455181121826,0.0,5.0,0.0,False,0.0,0.0,0.0,False,-1.831110603234265e-05,0.0,19.761455107480288,19761,19444,19.761455107480288,0.009797515347599983,-0.003640136681497097,0.16491498053073883,-0.057940490543842316,-0.02763465791940689,0.012932284735143185,1.036085605621338,-18.3299560546875,0.16799262166023254,-0.04714879393577576,49.972434997558594,-0.0360717810690403,4.480616098589962e-06,9.536160661127724e-08,-1.9487688405206427e-05,-9.3648093752563e-05,-6.966079672565684e-05,-0.09663387387990952,6.706151179969311e-05,4.373811316327192e-05,-1.1531196832947899e-06,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1165.1826171875,Road_Grass_Town05_125,42.06108474731445,-1612.9984130859375,16.6312255859375,3896,3896,3894,0.9805806875228882,0.16203345358371735,0.11048382520675659,0.0,0.0,0.0,True,0.0,False,0.0,False,0.9805806875228882,0.16203345358371735,0.11048382520675659,0.0,-5.0,0.0,False,0.0,0.0,0.0,False,0.0,False,0.9805806875228882,0.16203345358371735,0.11048382520675659,0.0,5.0,0.0,False,0.0,0.0,0.0,False,-1.831110603234265e-05,0.0,19.766144908964634,19766,19448,19.766144908964634,0.009797515347599983,-0.003640136681497097,0.16491387784481049,-0.057940490543842316,-0.02763465791940689,0.012932284735143185,1.036085605621338,-18.3299560546875,0.16798755526542664,-0.04714879393577576,49.972434997558594,-0.0360717810690403,4.711032488557976e-06,3.3438320201639726e-07,0.0002588652423582971,0.00015297195932362229,6.771753396606073e-05,0.1335524022579193,-3.951868347940035e-05,-2.1656949684256688e-05,-3.032303084182786e-07,0.0,0.0,0.0,0.0
