Time (t),[Measured] Speed ~ V(t) (m/s),[Measured] Current Position ~ X(t) (m),[Measured] Current Position ~ Y(t) (m),[Measured] Steering Angle FL ~ delta_fl(t) (deg),[Measured] Steering Angle FR ~ delta_fr(t) (deg),[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle SWA ~ Theta(t) (deg),[Measured] VelocityX ~ Vx(t) (m/s),[Measured] VelocityY ~ Vy(t) (m/s),[Measured] AccelerationX ~ Ax(t) (m/s^2),[Measured] AccelerationY ~ Ay(t) (m/s^2),[Measured] Angular VelocityZ ~ Phi_dot(t) (rad/s^2),[Computed] Rotation direction ~ rotate(t) (CW/CCW),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta_v(t) (deg),[Computed] Center of Rotation to WORLD ~ X_c(t) (m),[Computed] Center of Rotation to WORLD ~ Y_c(t) (m),[Computed] Current Error to Trajectory ~ e(t) (m),[Computed] Predicted Position ~ X_tp(t) (m),[Computed] Predicted Position ~ Y_tp(t) (m),[Computed] Change of Yaw Angle ~ Delta_Phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t) (m),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1742792256.4574106,4.439402451638635e-06,1.0361275672912598,-18.32989501953125,0.0,0.0,49.969749450683594,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.0038738554416162868,-inf,inf,0.00017396128810415496,49.9699234119717,inf,inf,inf
1742792256.5391383,4.574421130457078e-06,1.0361275672912598,-18.32989501953125,0.0,0.0,49.969749450683594,17.578661458174384,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.0038738554416162868,-inf,inf,0.00017396128810415496,49.9699234119717,inf,inf,inf
1742792256.620682,4.084032750653834e-06,1.0361275672912598,-18.32989501953125,2.775378942489624,3.4210636615753174,49.969749450683594,65.72771385845516,,,,,,1.0,50.27998709153531,1.5409391138716857,-38.319238812594946,12.962791650518056,0.0038738554416162868,6.036697850879989,-10.714792361174464,10.395624675339006,60.3653741260226,9.108148922553664,326.65696007793167,0.008820913066671507
1742792256.6897893,4.060528869758374e-06,1.0361275672912598,-18.32989501953125,6.335198402404785,7.572739601135254,49.969749450683594,109.19370097964415,,,,,,1.0,22.641193542454957,3.423634826820197,-17.13905944115199,-4.828553521923695,0.0038738554416162868,4.874641817862493,-10.122002483212375,23.085879881039887,73.05562933172348,9.059564068259109,368.7310936494526,0.008773860391124232
1742792256.7555778,4.224705532095669e-06,1.0361275672912598,-18.32989501953125,9.846731185913086,11.720571517944336,49.969749450683594,152.2202215643788,,,,,,1.0,14.54567074038209,5.333618469417774,-10.92299567564607,-10.05004547090757,0.0038738554416162868,3.61928027522713,-9.735804391061837,35.93453226143637,85.90428171211997,8.972897241296577,409.27479252981544,0.008689926701315126
1742792256.8375216,4.705943684420693e-06,1.0361275672912598,-18.32989501953125,13.571810722351074,16.49006462097168,49.969749450683594,205.94500564592425,,,,,,1.0,10.239634382626434,7.587767656118656,-7.605411131109653,-12.836815626885912,0.0038738554416162868,2.09919315941141,-9.570201499954845,51.04595095420021,101.0157004048838,8.823602433832638,458.72259542590996,0.008545340075740317
1742792256.9186022,4.836585875489702e-06,1.0361275672912598,-18.32989501953125,17.3421573638916,21.61589241027832,49.969749450683594,259.1479232154301,,,,,,1.0,7.702324472719043,10.110266460369504,-5.639652894140612,-14.488052035518088,0.0038738554416162868,0.43469258036247194,-9.752217437537432,67.8615755978367,117.8313250485203,8.598415238447277,505.47437504743135,0.008327254415183848
1742792256.9992034,4.4399403739974654e-06,1.0361275672912598,-18.32989501953125,20.779417037963867,26.453317642211914,49.969749450683594,312.40577410199285,,,,,,1.0,6.188219595778062,12.620606038731278,-4.4573895498930245,-15.481152937703751,0.0038738554416162868,-1.09211651342607,-10.287984429403632,84.4656312521779,134.4353807028615,8.317294808666457,550.6787188533216,0.00805499943851986
1742792257.070442,4.744979188632819e-06,1.0361275672912598,-18.32989501953125,23.478492736816406,30.626785278320312,49.969749450683594,357.68456068605605,,,,,,1.0,5.25218054438856,14.917862479073124,-3.719601433673006,-16.10089476375712,0.0038738554416162868,-2.307771765970001,-11.042027552587474,99.51902263583382,149.48877208651743,8.015938045915188,587.3242701206984,0.007763146304706896
1742792257.163764,4.256936622573065e-06,1.0361275672912598,-18.32989501953125,26.749065399169922,35.84233474731445,49.969749450683594,416.3396099734489,,,,,,1.0,4.373796689276728,18.007061200444383,-3.018522642122151,-16.689800766620202,0.0038738554416162868,-3.588063512370852,-12.353244451265308,119.50529748352935,169.47504693421294,7.553020421898905,632.7177063489128,0.007314827315503004
1742792257.2444136,4.436787546095934e-06,1.0361275672912598,-18.32989501953125,30.004955291748047,41.07070541381836,49.969749450683594,450.0,,,,,,1.0,3.7034834520654765,21.412878491551655,-2.473558736510702,-17.14757030583042,0.0038738554416162868,-4.46441069349968,-14.024703327383216,141.13519913069402,191.10494858137764,6.971348542433711,649.7144244980649,0.006751499121627652
1742792257.3157978,3.9487626732379026e-06,1.0361275672912598,-18.32989501953125,30.983531951904297,41.999996185302734,49.969749450683594,436.6924039429914,,,,,,1.0,3.600512965119321,22.056893790196227,-2.388680761761163,-17.218867782580922,0.0038738554416162868,-4.56545486439841,-14.350881011676961,145.17150182437106,195.14125127505466,6.839055804914608,632.616920681018,0.0066233783863464775
1742792257.3998284,4.4575616398359755e-06,1.0361275672912598,-18.32989501953125,30.320301055908203,41.086090087890625,49.969749450683594,450.0,,,,,,1.0,3.701743932079009,21.423437403508302,-2.472127968803616,-17.148772150332867,0.0038738554416162868,-4.466231412661813,-14.03004491091666,141.2015212491837,191.1712706998673,6.969258230656817,649.6545414767236,0.006749474730214751
1742792257.4854167,3.348281880404449e-06,1.0361275672912598,-18.32989501953125,30.983531951904297,41.999996185302734,49.969749450683594,450.0,,,,,,1.0,3.600512965119321,22.056893790196227,-2.388680761761163,-17.218867782580922,0.0038738554416162868,-4.56545486439841,-14.350881011676961,145.17150182437106,195.14125127505466,6.839055804914608,645.9245167380266,0.0066233783863464775
1742792257.555669,4.719596116125918e-06,1.0361275672912598,-18.32989501953125,30.983531951904297,41.999996185302734,49.969749450683594,450.0,,,,,,1.0,3.600512965119321,22.056893790196227,-2.388680761761163,-17.218867782580922,0.0038738554416162868,-4.56545486439841,-14.350881011676961,145.17150182437106,195.14125127505466,6.839055804914608,645.9245167380266,0.0066233783863464775
1742792257.645679,4.746769846317212e-06,1.0361275672912598,-18.32989501953125,30.983531951904297,41.999996185302734,49.969749450683594,450.0,,,,,,1.0,3.600512965119321,22.056893790196227,-2.388680761761163,-17.218867782580922,0.0038738554416162868,-4.56545486439841,-14.350881011676961,145.17150182437106,195.14125127505466,6.839055804914608,645.9245167380266,0.0066233783863464775
1742792257.7183266,3.4098350340743947e-06,1.0361275672912598,-18.32989501953125,30.983531951904297,41.999996185302734,49.969749450683594,450.0,,,,,,1.0,3.600512965119321,22.056893790196227,-2.388680761761163,-17.218867782580922,0.0038738554416162868,-4.56545486439841,-14.350881011676961,145.17150182437106,195.14125127505466,6.839055804914608,645.9245167380266,0.0066233783863464775
1742792257.7858896,4.6967762794434985e-06,1.0361275672912598,-18.32989501953125,30.983531951904297,41.999996185302734,49.969749450683594,450.0,,,,,,1.0,3.600512965119321,22.056893790196227,-2.388680761761163,-17.218867782580922,0.0038738554416162868,-4.56545486439841,-14.350881011676961,145.17150182437106,195.14125127505466,6.839055804914608,645.9245167380266,0.0066233783863464775
