Desired Steering Angle, Acceleration Pedal, Steering Wheel Angle
450.0,0.5,0.0
450.0,1.0,0.03595080416272469
200.10868988318595,1.0,0.14227729117709892
255.5234257674167,1.0,0.2631305887020478
298.94125444575866,1.0,0.36051515243995486
349.36963905697013,1.0,0.4740440076906644
399.0943588840882,1.0,0.5894344920194098
440.6103166846603,1.0,0.6810510574663533
450.0,1.0,0.7772759178441725
450.0,1.0,0.9014252143925291
450.0,1.0,0.9963988158818323
450.0,1.0,0.9952391125217445
450.0,1.0,0.977843562120426
450.0,1.0,0.9869991149632252
450.0,1.0,0.9979857783745841
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
443.9304266593604,1.0,1.0
450.0,1.0,0.9973754081850642
450.0,1.0,0.9938657795953245
450.0,1.0,0.9980468153935361
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
443.9304266593604,1.0,1.0
441.9569119301791,1.0,0.9955748161259804
437.8976118884987,1.0,0.9854121524704733
434.68574736151936,1.0,0.977446821497238
430.8182805277554,1.0,0.967650379955443
426.91127854014053,1.0,0.9580370494705038
422.8526111724178,1.0,0.9482100894192328
419.65614529269226,1.0,0.9400311288796656
416.8511388607831,1.0,0.9329813531907102
413.0949305220717,1.0,0.923673207800531
409.25731646929813,1.0,0.9144566179387799
406.6088525760568,1.0,0.9078341013824884
403.4772029262041,1.0,0.9000518814661091
401.1015789037725,1.0,0.8938566240424818
399.2200114123149,1.0,0.8892483291116062
398.7527350583993,1.0,0.8878749961851863
396.54515646600817,1.0,0.8826258125553148
394.93115489852084,1.0,0.8786584063234352
393.9963187837495,1.0,0.8762169255653554
391.1040346572184,1.0,0.86947233497116
389.7527130622109,1.0,0.8656575212866604
387.5079638448182,1.0,0.8602557451094088
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
450.0,1.0,0.8594317453535569
397.26828453092503,1.0,0.8842127750480666
410.6289902932767,1.0,0.9154026917325357
408.0110425527114,1.0,0.9110080263679922
405.2593165885603,1.0,0.9042329172643208
402.9255005648201,1.0,0.8984649189733573
401.97759325042483,1.0,0.8958708456678975
399.5399196826475,1.0,0.8901944029053621
398.22668067464247,1.0,0.8868373668630024
396.25986408266294,1.0,0.8820154423657949
395.09623925668564,1.0,0.8789941099276711
394.0078077975047,1.0,0.8764610736411633
391.3000528657906,1.0,0.869899594103824
389.6455461270337,1.0,0.8652607806634725
387.40276738946744,1.0,0.8598284859767449
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
387.2874453256015,1.0,0.8594317453535569
450.0,1.0,0.8594317453535569
393.67640426134744,1.0,0.8748130741294595
405.6525596722236,1.0,0.9034394360179449
402.7270790171824,1.0,0.8980376598406934
402.2453266049,1.0,0.8966032898953216
399.8569283093055,1.0,0.890865810113834
397.70198630629693,1.0,0.8856166264839626
395.31812230915034,1.0,0.879787591174047
393.65074123663555,1.0,0.8756675923947874
391.2871207391244,1.0,0.869869075594348
389.33596132223676,1.0,0.8646809289834284
387.3379925423172,1.0,0.8598590044862209
387.2128174751813,1.0,0.859248634296701
387.2128174751813,1.0,0.859248634296701
387.27500966089747,1.0,0.8594012268440809
387.27500966089747,1.0,0.8594012268440809
387.27500966089747,1.0,0.8594012268440809
387.27500966089747,1.0,0.8594012268440809
387.27500966089747,1.0,0.8594012268440809
450.0,1.0,0.8602252265999328
450.0,1.0,0.8844264046143986
450.0,1.0,0.9272133548997467
450.0,1.0,0.9729911191137425
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
443.9304266593604,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
443.9304266593604,1.0,1.0
443.9304266593604,1.0,1.0
443.9304266593604,1.0,1.0
443.9304266593604,1.0,1.0
443.9304266593604,1.0,1.0
443.9304266593604,1.0,1.0
441.19115596519805,1.0,0.9935911130100405
440.19532344408725,1.0,0.9907834101382489
438.8508409862097,1.0,0.9875789666432692
437.69129635602036,1.0,0.9845881527146214
435.9423317536479,1.0,0.9802240058595538
434.4436647272852,1.0,0.9766228217413861
433.0721215390005,1.0,0.9732352671895504
432.4207396384674,1.0,0.9714041566209907
432.44265165808116,1.0,0.9714041566209907
432.44265165808116,1.0,0.9714041566209907
432.44265165808116,1.0,0.9714041566209907
432.44265165808116,1.0,0.9714041566209907
432.4439386273503,0.9761955626087222,0.9714041566209907
432.43940362169195,0.9444410534989471,0.9714041566209907
432.4421913832452,0.9285714285714286,0.9714041566209907
432.4432295204204,0.9127018036439101,0.9714041566209907
432.44313263879843,0.880962553788873,0.9714041566209907
432.4422725328873,0.8611102633747367,0.9714041566209907
432.4450399112659,0.8571428571428571,0.9714041566209907
432.44601830499346,0.8571428571428571,0.9714041566209907
432.44812358888856,0.880962553788873,0.9714041566209907
432.44870602297294,0.8849299600207526,0.9714041566209907
432.44899213620107,0.8928647724845119,0.9714041566209907
432.4485651622283,0.8968321787163915,0.9714041566209907
432.4477803980782,0.9007995849482712,0.9714041566209907
432.4455709977539,0.9007995849482712,0.9714041566209907
432.4430228178021,0.9007995849482712,0.9714041566209907
432.4392436184283,0.8769951475569934,0.9714041566209907
432.43465646564334,0.8730124820703756,0.9714041566209907
432.430110361813,0.8730124820703756,0.9714041566209907
432.4252807487833,0.8730124820703756,0.9714041566209907
432.4181412700814,0.8730124820703756,0.9714041566209907
432.41018574644903,0.8730124820703756,0.9714041566209907
432.4013730891645,0.8730124820703756,0.9714041566209907
432.3913313997974,0.8730124820703756,0.9714041566209907
432.3820623197897,0.8730124820703756,0.9714041566209907
432.35811764429155,0.8730124820703756,0.9713736381115147
430.8721255896707,0.8730124820703756,0.968016602069155
428.3528858318499,0.8968321787163915,0.9620044557023835
425.3408861643959,0.9127018036439101,0.9544053468428602
421.22051450773654,0.9166692098757897,0.9444257942442091
418.13893422230785,0.9166692098757897,0.9366130558183539
414.7156630732945,0.9166692098757897,0.9280373546555987
411.7594837644176,0.9166692098757897,0.9207739494003113
409.33123837907294,0.9166692098757897,0.9146397289956358
407.0821195621406,0.9166692098757897,0.9090548417615284
403.9821528911489,0.9166692098757897,0.9015778069399091
401.38299838529787,0.9166692098757897,0.8950773644215216
400.5188233147303,0.9166692098757897,0.8928495132297739
400.5159199790564,0.9166692098757897,0.8928495132297739
400.4875188138342,0.9285714285714286,0.8928495132297739
399.38929360682766,0.9642933439130833,0.8904080324716941
397.1688277477509,1.0,0.8850978118228706
394.09793603660285,1.0,0.8778038880581073
392.76952653244734,1.0,0.8742637409588916
390.33692489460196,1.0,0.8681905575731681
389.6505770470909,1.0,0.8668782616657003
389.5479515300581,1.0,0.8668172246467483
389.78828056436606,1.0,0.8668172246467483
389.7223368655075,1.0,0.8668172246467483
388.8057479940278,1.0,0.8651997436445203
386.8670598039747,1.0,0.8612018189031647
385.2975065445761,1.0,0.8548234504226814
382.8253338786466,1.0,0.8496658223212379
382.7297792676759,1.0,0.8494521927549058
383.096100141371,1.0,0.8503677480391858
384.6227142567057,1.0,0.8540299691763055
384.9434803237621,1.0,0.8548844874416334
385.02254932793966,1.0,0.8550065614795374
385.0225661596048,1.0,0.8550065614795374
384.9539379385315,1.0,0.8548539689321574
384.6732518036881,1.0,0.8542130802331614
384.51588289053944,0.9880977813043611,0.8538163396099735
384.5223536019013,0.9127018036439101,0.8538163396099735
384.53687986633275,0.9007995849482712,0.8538163396099735
384.5472690535218,0.8611102633747367,0.8538163396099735
384.55646884956786,0.8531754509109775,0.8538163396099735
384.5638645927964,0.8452406384472182,0.8538163396099735
384.57443858951694,0.8412732322153386,0.8538163396099735
384.5869362604029,0.8333384197515793,0.8538163396099735
384.59986346036675,0.8174687948240608,0.8538163396099735
384.61890719467584,0.7976317636646626,0.8538163396099735
384.6425233427267,0.7857142857142857,0.8538163396099735
384.67134088355965,0.7857142857142857,0.8538163396099735
384.7021304570606,0.7857142857142857,0.8538163396099735
384.7452718410175,0.7857142857142857,0.8538163396099735
384.7947911756197,0.7698446607867672,0.8538163396099735
384.7947129888676,0.750007629627369,0.8538163396099735
384.73761024290275,0.7301705984679708,0.8538163396099735
384.6625521113881,0.7262031922360912,0.8538163396099735
384.57848075337705,0.7262031922360912,0.8538163396099735
384.5011566093811,0.7262031922360912,0.8538163396099735
384.4773410919511,0.7262031922360912,0.8538163396099735
384.59614992603116,0.7262031922360912,0.8530533768730735
383.9808077309986,0.7262031922360912,0.8526261177404095
383.7493570729169,0.7262031922360912,0.8520157475508896
384.01192125640387,0.7262031922360912,0.8516190069277016
383.7507316070572,0.7262031922360912,0.8516190069277016
383.585061529893,0.7262031922360912,0.8516190069277016
383.501989276241,0.7262031922360912,0.8512527848139897
383.25532472533615,0.7262031922360912,0.8504287850581378
382.73149200082133,0.7262031922360912,0.8494521927549058
382.40348927055464,0.7460402233954894,0.8494521927549058
381.28510882521243,0.7460402233954894,0.8468276009399701
378.9919543464113,0.7460402233954894,0.8413953062532425
378.1418138055236,0.750007629627369,0.8396252327036348
378.4508226765821,0.750007629627369,0.8396252327036348
378.2051318532725,0.7539750358592486,0.8396252327036348
378.3685809660203,0.7579424420911283,0.8396252327036348
378.3471068137766,0.7619098483230079,0.8396252327036348
378.48410432661825,0.7658772545548875,0.8396252327036348
