Time (t),[Measured] Current Position ~ r(t) (m)_X,[Measured] Current Position ~ r(t) (m)_Y,[Measured] Steering Angles ~ delta(t) (deg)_FL,[Measured] Steering Angles ~ delta(t) (deg)_FR,[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle ~ Theta(t) (deg),[Computed] Rotation direction ~ (CW/CCW),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta(t) (deg),[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_X,[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_Y,[Computed] Current Error to Trajectory ~ e(t),[Computed] Predicted Position ~ r_tp(t) (m)_X,[Computed] Predicted Position ~ r_tp(t) (m)_Y,[Computed] Change of Yaw Angle ~ Delta_phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1741762822.5986507,1.0360885858535767,-18.329946517944336,0.0,0.0,49.971946716308594,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300745.35627294,1932455.7919810147,0.003911779768228111,1.03609109390527,-18.32994353189133,7.434112503099135e-11,49.97194671638294,0.003909313942971745,0.1119935948619638,3.823093797442234e-06
1741762822.6393921,1.0208728313446045,-18.3341121673584,0.0,0.0,49.972469329833984,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300762.998120855,1932434.8018754004,0.005952176725503975,1.4407857209444046,-17.834166961722076,1.2450102415529846e-05,49.9724817799364,0.6375575236485267,18.264677650936378,0.0009487137633576776
1741762822.6890135,0.9926860332489014,-18.349140167236328,0.0,0.0,49.97510528564453,2.71919919431135,1.0,3004644.769999303,2.5783100780893895e-05,-2300851.9285201197,1932328.9356048075,0.017335303776964375,1.3887792103923857,-17.87751048663631,1.1744508988294503e-05,49.97511703015352,0.5713087582962848,19.08598951892974,0.0024759527188766032
1741762822.7350535,0.9670593738555908,-18.363285064697266,0.0,0.0,49.97758865356445,14.007995849482711,1.0,3004644.769999303,2.5783100780893895e-05,-2300935.7056109966,1932229.193899254,0.028384174993684636,1.3766523865051568,-17.87553814938292,1.2145417793290655e-05,49.977600798982245,0.5655708647074369,30.210407631133023,0.004013315598796357
1741762822.7803705,0.9405372142791748,-18.377981185913086,1.7498109340667725,1.920969843864441,49.9785270690918,25.32425916318247,1.0,98.36274150822868,0.7876102026307633,-75.24837153190187,43.8351934725201,0.03678157033386805,1.333360086184996,-17.893789180605886,0.3631858244662773,50.341712893558075,0.5256805295262049,40.38389702020937,0.0048338388424782755
1741762822.8270848,0.9147078394889832,-18.391931533813477,2.8163628578186035,3.01359486579895,49.96393585205078,35.51438947721793,1.0,61.09189151634639,1.2681778680296092,-46.71797088295612,19.86178889661474,0.04509296383693889,1.2950088578945937,-17.913507071116534,0.573188043323498,50.53712389537428,0.4883603970579837,49.504884293595715,0.005505404430982195
1741762822.8735135,0.8887608647346497,-18.405927658081055,3.645111322402954,3.8523454666137695,49.94035720825195,44.78438673055208,1.0,47.184230462513845,1.642066941456736,-36.08021956323112,10.913794210591298,0.06035758112825785,1.2610988969459456,-17.930226660210664,0.7335534264931114,50.67391063474506,0.45684072217462435,57.871909375709365,0.006893450237836697
1741762822.9162302,0.8643534779548645,-18.419158935546875,4.372779846191406,4.632363796234131,49.91151809692383,52.777184362315744,1.0,39.316130718859156,1.9708027189875235,-30.067399740744722,5.849849645767044,0.06832582827557773,1.2424479779910982,-17.92937596256583,0.901709390447201,50.81322748737102,0.4488705862080257,65.63637943095726,0.007667363647801866
1741762822.9627678,0.8384437561035156,-18.432619094848633,5.040632724761963,5.3246169090271,49.87555694580078,60.261848811304056,1.0,34.09181110931695,2.272961739665939,-26.080586158461507,2.486688091865279,0.07714022660521423,1.1983297287677352,-17.96110721058282,0.9968997538553402,50.87245669965613,0.4014351667400986,71.76211921247311,0.007741699932408287
1741762823.0134113,0.8118703365325928,-18.447555541992188,5.653243064880371,6.038566589355469,49.830902099609375,67.87011322367015,1.0,30.383375258172187,2.5505609636867983,-23.254564253888706,0.09850113278056938,0.08891443262545815,1.1595714295404136,-17.987390355062175,1.0876411394877081,50.91854323909709,0.3628755924097949,78.26573319036551,0.008066219353185978
