Time (t),[Measured] Current Position ~ r(t) (m)_X,[Measured] Current Position ~ r(t) (m)_Y,[Measured] Steering Angles ~ delta(t) (deg)_FL,[Measured] Steering Angles ~ delta(t) (deg)_FR,[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle ~ Theta(t) (deg),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta(t) (deg),[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_X,[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_Y,[Computed] Current Error to Trajectory ~ e(t),[Computed] Predicted Position ~ r_tp(t) (m)_X,[Computed] Predicted Position ~ r_tp(t) (m)_Y,[Computed] Change of Yaw Angle ~ Delta_phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1741674968.9874194,-2.33013225,-13.42747879,10,10,-88.8465576,4.536751165357343,17.09374533475223,4.536751165357343,14.679384584787096,-11.732643512913063,0.0,-2.27328853404069,-13.924219132310547,1.6759281945249833,-87.17062940547501,-0.08721851126120087,1.7596155536139766,-0.0
1741674968.9914193,-2.27328853404069,-13.924219132310547,1.7596155536139766,1.7596155536139766,-87.17062940547501,0.7920255830783829,97.81442400216514,0.7920255830783829,95.3458206769086,-7.745945932128086,0.08721851126120087,-2.2404316899753383,-14.423137846561715,0.29288001282824133,-86.87774939264678,0.04764415887567839,1.0181630943330948,0.00017211893475893458
1741674968.9954214,-2.2404316899753383,-14.423137846561715,1.0181630943330948,1.0181630943330948,-86.87774939264678,0.45821185755595933,169.07001297423824,0.45821185755595933,166.49957041745407,-3.864682661554676,0.04764415887567839,-2.208468743256333,-14.922114988152348,0.16944394368093138,-86.70830544896585,0.09343365900117638,1.3339259235768175,0.0003640988956406253
1741674968.9994214,-2.208468743256333,-14.922114988152348,1.3339259235768175,1.3339259235768175,-86.70830544896585,0.6003531698477248,129.04150489671653,0.6003531698477248,126.53542893121076,-6.16318825049386,0.09343365900117638,-2.173563973883205,-15.420894843694423,0.22200523606316147,-86.48630021290268,0.18302045453286545,2.433044584717666,0.0014943078370392318
1741674969.003421,-2.173563973883205,-15.420894843694423,2.433044584717666,2.433044584717666,-86.48630021290268,1.0953951667614006,70.72678492872777,1.0953951667614006,68.32450010669405,-9.73749205616155,0.18302045453286545,-2.1316240924823546,-15.919131740318484,0.40505007806321164,-86.08125013483946,0.22304089249826242,3.1852426859847345,0.0033378099235503306
1741674969.0074186,-2.1316240924823546,-15.919131740318484,3.1852426859847345,3.1852426859847345,-86.08125013483946,1.4345378405617082,54.00844172857695,1.4345378405617082,51.6412521842527,-10.880326834784176,0.22304089249826242,-2.082672108573675,-16.416727879483872,0.5304335551933355,-85.55081657964615,0.275788160845937,3.987001430011301,0.004968112502336815
1741674969.0114193,-2.082672108573675,-16.416727879483872,3.987001430011301,3.987001430011301,-85.55081657964615,1.7964632502611477,43.13016338183175,1.7964632502611477,40.79149680561737,-11.724539343106215,0.275788160845937,-2.025396684387964,-16.9134337541575,0.664219365526653,-84.88659721411952,0.3644096997925043,5.208231367372319,0.008211121850921446
1741674969.0144236,-2.025396684387964,-16.9134337541575,5.208231367372319,5.208231367372319,-84.88659721411952,2.3488640908872918,32.99073916730956,2.3488640908872918,30.68593093571795,-12.628819870089352,0.3644096997925043,-1.9567057747595342,-17.40868800563884,0.8683615608385119,-84.01823565328102,0.389678266326062,5.828326049906642,0.011064948401968857
1741674969.0184193,-1.9567057747595342,-17.40868800563884,5.828326049906642,5.828326049906642,-84.01823565328102,2.6299820954662834,29.466462918136198,2.6299820954662834,27.17754350114241,-12.996437328773045,0.389678266326062,-1.8776461595494283,-17.90239194404639,0.9722201757343866,-83.04601547754665,0.4562540909630552,6.75134396941095,0.014015038835228599
1741674969.0224214,-1.8776461595494283,-17.90239194404639,6.75134396941095,6.75134396941095,-83.04601547754665,3.0493619463928137,25.417003442758364,3.0493619463928137,23.15295806087623,-13.48731364693776,0.4562540909630552,-1.7859558661548505,-18.393904739470933,1.1271151542729683,-81.91890032327369,0.4692024262630258,7.151603717348109,0.01633335479527358
1741674969.0264213,-1.7859558661548505,-18.393904739470933,7.151603717348109,7.151603717348109,-81.91890032327369,3.231608388289599,23.985006554608994,3.231608388289599,21.73305017062005,-13.688918611246734,0.4692024262630258,-1.6827710021944497,-18.88313252938763,1.1944082521435102,-80.72449207113017,0.4979183051257609,7.58664195068569,0.017831961894039575
1741674969.0294194,-1.6827710021944497,-18.88313252938763,7.58664195068569,7.58664195068569,-80.72449207113017,3.429978912473189,22.599366311912362,3.429978912473189,20.363215615608674,-13.912636402475849,0.4979183051257609,-1.567414691231253,-19.36963301643059,1.267641285208982,-79.4568507859212,0.5068930499395057,7.808198231173765,0.01902404994890153
1741674969.0329728,-1.567414691231253,-19.36963301643059,7.808198231173765,7.808198231173765,-79.4568507859212,3.5311265026971532,21.95280216770866,3.5311265026971532,19.7263927666958,-14.031160673214375,0.5068930499395057,-1.4403125655925386,-19.85319712025166,1.3049764461814628,-78.15187433973973,0.49136170564059906,7.6937838324593075,0.018413416203320845
1741674969.0369794,-1.4403125655925386,-19.85319712025166,7.6937838324593075,7.6937838324593075,-78.15187433973973,3.4788821502930607,22.28206547784639,3.4788821502930607,20.04924508701652,-13.96343024420084,0.49136170564059906,-1.3027496738971287,-20.333890328759104,1.2856927372834397,-76.86618160245628,0.5030912565080183,7.794805153851281,0.01850641798108053
1741674969.0419788,-1.3027496738971287,-20.333890328759104,7.794805153851281,7.794805153851281,-76.86618160245628,3.5250097347390055,21.990847535645127,3.5250097347390055,19.765114290871335,-14.02972636372774,0.5030912565080183,-1.153980562790565,-20.811234001376288,1.3027187656185413,-75.56346283683773,0.43967903702685723,7.10563173958248,0.01572000275417891
1741674969.0449831,-1.153980562790565,-20.811234001376288,7.10563173958248,7.10563173958248,-75.56346283683773,3.2106637644576734,24.141306277060863,3.2106637644576734,21.85126598249337,-13.492675389630389,0.43967903702685723,-0.9974798726004614,-21.286100927363506,1.1866752125075546,-74.37678762433018,0.40986233178171644,6.578190153024129,0.012920940881425286
1741674969.0489833,-0.9974798726004614,-21.286100927363506,6.578190153024129,6.578190153024129,-74.37678762433018,2.970596562127489,26.09030723127465,2.970596562127489,23.73098818576277,-12.96702652519521,0.40986233178171644,-0.8335203496020718,-21.75844574158401,1.098028072364005,-73.27875955196617,0.3500663650686096,5.756688246279359,0.009965079835971183
1741674969.0519826,-0.8335203496020718,-21.75844574158401,5.756688246279359,5.756688246279359,-73.27875955196617,2.5974810611386583,29.834905249378203,2.5974810611386583,27.321468054715382,-11.888379926599567,0.3500663650686096,-0.6641629907822022,-22.228884083779555,0.9602138675180883,-72.3185456844481,0.2762201779406323,4.695771414002305,0.006410078394323876
1741674969.0559838,-0.6641629907822022,-22.228884083779555,4.695771414002305,4.695771414002305,-72.3185456844481,2.116877298489797,36.604240848119325,2.116877298489797,33.77642432224846,-9.830642531017373,0.2762201779406323,-0.4915999938511604,-22.698158124104197,0.7826385438618665,-71.53590714058622,0.2330173955606399,3.9163248978264122,0.004337524860536314
1741674969.0594988,-0.4915999938511604,-22.698158124104197,3.9163248978264122,3.9163248978264122,-71.53590714058622,1.7645378891411703,43.910253632521794,1.7645378891411703,40.71028499348015,-7.515436116403581,0.2330173955606399,-0.3160490667948892,-23.166323875476856,0.6524191364570785,-70.88348800412915,0.11015287584784939,2.313662638347445,0.0011166234230980281
1741674969.0624957,-0.3160490667948892,-23.166323875476856,2.313662638347445,2.313662638347445,-70.88348800412915,1.041599704188736,74.37917452831654,1.041599704188736,69.50704515885549,2.465631107897348,0.11015287584784939,-0.14216674342374347,-23.63511380302764,0.38516009270356666,-70.49832791142556,0.13031110127913162,2.1040540031610173,0.001021300325113699
1741674969.066496,-0.14216674342374347,-23.63511380302764,2.1040540031610173,2.1040540031610173,-70.49832791142556,0.9471638566818952,81.79428186120334,0.9471638566818952,76.49781117762076,4.941420791842205,0.13031110127913162,0.0339494921735195,-24.103069242220574,0.35024318454380154,-70.14808472688178,-0.10440111830788665,-0.6073311114867015,-0.0017677388540343203
1741674969.0694964,0.0339494921735195,-24.103069242220574,-0.6073311114867015,-0.6073311114867015,-70.14808472688178,-0.27330716348980943,283.4515997132622,-0.27330716348980943,-267.02922447557825,-119.08764951858865,0.10440111830788665,0.20108382042695894,-24.574308089828136,-0.1010680122656608,-70.24915273914743,-0.2221988119423509,-2.678142006745092,-0.0021909767972028084
1741674969.073497,0.20108382042695894,-24.574308089828136,-2.678142006745092,-2.678142006745092,-70.24915273914743,-1.2058642960437593,64.24833920192994,-1.2058642960437593,-60.711111977432495,-45.00843379389189,0.2221988119423509,0.35826221855563034,-25.048959213717513,-0.44589307851992876,-70.69504581766736,-0.33956069792393334,-4.56976146190449,-0.006522766249997784
1741674969.0774958,0.35826221855563034,-25.048959213717513,-4.56976146190449,-4.56976146190449,-70.69504581766736,-2.0598762485033495,37.6167014221643,-2.0598762485033495,-35.56739602885291,-36.20078890102281,0.33956069792393334,0.5033140580500373,-25.527452978694903,-0.7615736806646586,-71.45661949833206,-0.4473022145590711,-6.305049282561244,-0.012579407510490583
1741674969.0814965,0.5033140580500373,-25.527452978694903,-6.305049282561244,-6.305049282561244,-71.45661949833206,-2.846436669383689,27.22735252127523,-2.846436669383689,-25.708626450248296,-32.893788574309696,0.4473022145590711,0.6341613702914053,-26.01002106226966,-1.0521731679257444,-72.50879266625782,-0.5840227673164025,-8.327218707010587,-0.02139394876708436
1741674969.0844991,0.6341613702914053,-26.01002106226966,-8.327218707010587,-8.327218707010587,-72.50879266625782,-3.768414295621791,20.57229761976416,-3.768414295621791,-19.35089642810613,-30.890276603823224,0.5840227673164025,0.7468596070311548,-26.497141993063273,-1.3925469233450443,-73.9013395896029,-0.7380817976393165,-10.6274218910094,-0.03495734442349151
