Desired Steering Angle, Acceleration Pedal, Steering Wheel Angle
450.0,0.5,0.0
450.0,1.0,0.02447584459974975
316.3747064123852,1.0,0.10711996826075014
368.7642630282794,1.0,0.22949919125949889
410.0567593022562,1.0,0.3268837549974059
450.0,1.0,0.4467909787285989
450.0,1.0,0.5634937589648121
450.0,1.0,0.6654560991241187
450.0,1.0,0.7912533951841793
450.0,1.0,0.8960539567247535
450.0,1.0,1.0
450.0,1.0,0.9727774895474105
450.0,1.0,0.9840693380535295
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,0.9981994079409162
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
287.3800793461788,1.0,1.0
275.4870090890786,1.0,0.9735709707937864
241.1074928264545,1.0,0.8956877346110416
187.90646693274954,1.0,0.7742240668965727
147.5975433468038,1.0,0.6754661702322459
103.99424446144855,1.0,0.5598620563371685
62.983147341057524,1.0,0.44865260780663474
26.998147020076427,1.0,0.347605822931608
-12.5148660272713,1.0,0.22705771050141912
-43.750457553461054,1.0,0.1347087008270516
-74.19687276860768,1.0,0.03964354380932035
-450.0,1.0,-0.07257301553392133
-142.80215351502517,1.0,-0.18753624073000275
-174.40222052485947,1.0,-0.30271309549241615
-201.7460996586398,1.0,-0.39429914242988373
-220.2392028887155,1.0,-0.46555986205633715
-218.95771727816398,1.0,-0.4761192663350322
-221.17202016090718,1.0,-0.4847254860072634
-221.85557005012126,1.0,-0.4874721518601032
-222.82208329333568,1.0,-0.49208044679097873
-221.3523049693482,1.0,-0.48835718863490707
-222.68904164006062,1.0,-0.4910428174687948
-221.91587611823277,1.0,-0.489486373485519
-222.26859419963603,1.0,-0.4903408917508469
-222.23714331377752,1.0,-0.4903408917508469
-222.23714493569767,1.0,-0.4903408917508469
-222.23714574665982,1.0,-0.4903408917508469
-222.2371476389098,1.0,-0.4903408917508469
