Time (t),[Measured] Speed ~ V(t) (m/s),[Measured] Current Position ~ X(t) (m),[Measured] Current Position ~ Y(t) (m),[Measured] Steering Angle FL ~ delta_fl(t) (deg),[Measured] Steering Angle FR ~ delta_fr(t) (deg),[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle SWA ~ Theta(t) (deg),[Measured] VelocityX ~ Vx(t) (m/s),[Measured] VelocityY ~ Vy(t) (m/s),[Measured] AccelerationX ~ Ax(t) (m/s^2),[Measured] AccelerationY ~ Ay(t) (m/s^2),[Measured] Angular VelocityZ ~ Phi_dot(t) (rad/s^2),[Computed] Rotation direction ~ rotate(t) (CW/CCW),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta_v(t) (deg),[Computed] Center of Rotation to WORLD ~ X_c(t) (m),[Computed] Center of Rotation to WORLD ~ Y_c(t) (m),[Computed] Current Error to Trajectory ~ e(t) (m),[Computed] Predicted Position ~ X_tp(t) (m),[Computed] Predicted Position ~ Y_tp(t) (m),[Computed] Change of Yaw Angle ~ Delta_Phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t) (m),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1742794102.9821963,5.54218836886616e-06,-0.5760452151298523,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.89591296005,-12634.361527951454,0.010558232397291862,-0.5760140034872165,-27.287137584882657,-1.4184860201569862e-07,-62.00799193262006,-0.010589561438957236,-0.3033685886733663,-2.7951762664477728e-05
1742794103.0650997,4.878101472663209e-06,-0.5760449767112732,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895912721633,-12634.361527951454,0.010558098848807861,-0.5760175049690588,-27.2871305479257,-1.2485174236861222e-07,-62.0079919156232,-0.010585657741616803,-0.30325675598231466,-2.7941105203909595e-05
1742794103.1443145,4.741001039400719e-06,-0.5760447382926941,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895912483214,-12634.361527951454,0.010557965304018533,-0.5760180386532738,-27.287129095149794,-1.213427485380742e-07,-62.00799191211421,-0.010584747145481754,-0.303230669324625,-2.7938348278451393e-05
1742794103.226151,4.544408566865473e-06,-0.5760443210601807,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895912065982,-12634.361527951454,0.010557731609527934,-0.5760187285559368,-27.287127011975826,-1.1631109577928511e-07,-62.00799190708257,-0.010583399750841577,-0.3031920693115147,-2.7934173521432544e-05
1742794103.292408,5.405548963224553e-06,-0.576043963432312,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895911708354,-12634.361527951454,0.01055753130897124,-0.5760135212913156,-27.287136136994377,-1.3835140787855976e-07,-62.00799192912287,-0.010588089666134568,-0.3033264254877958,-2.7946022038102635e-05
1742794103.3625855,5.070957527238792e-06,-0.5760436654090881,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.89591141033,-12634.361527951454,0.010557364398191882,-0.5760151075664908,-27.287132591522095,-1.2978776401044001e-07,-62.00799192055924,-0.010586023541621307,-0.30326723538051664,-2.794012701418348e-05
1742794103.4403074,5.0754987467683405e-06,-0.5760431885719299,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895910933494,-12634.361527951454,0.010557097352955215,-0.5760146051543416,-27.28713263964346,-1.2990399348494354e-07,-62.00799192067547,-0.010585784295063582,-0.3032603814715063,-2.793878884009266e-05
1742794103.5272062,4.076383097367202e-06,-0.5760427713394165,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.89591051626,-12634.361527951454,0.010556863700499686,-0.5760198145944742,-27.28712205256852,-1.0433229712837372e-07,-62.007991895103764,-0.010579883442246332,-0.3030913344905281,-2.792259686674199e-05
1742794103.6085398,5.772027581886997e-06,-0.5760424137115479,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895910158633,-12634.361527951454,0.010556663435975274,-0.5760099076906045,-27.287140020367588,-1.4773118284578038e-07,-62.00799193850266,-0.010589312175346439,-0.30336144779692387,-2.7946951163401886e-05
1742794103.6924298,5.336951815033985e-06,-0.5760420560836792,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895909801005,-12634.361527951454,0.010556463179767264,-0.5760120002560143,-27.28713541011166,-1.3659570978144032e-07,-62.007991927367186,-0.01058664027049636,-0.3032849033613388,-2.793936955323404e-05
1742794103.7602847,5.049929436367822e-06,-0.5760416388511658,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895909383773,-12634.361527951454,0.01055622955803623,-0.5760131994320545,-27.287132368697712,-1.2924956409831461e-07,-62.00799192002104,-0.010584777800605825,-0.30323154752923986,-2.793383607100023e-05
1742794103.8281147,6.116538920162784e-06,-0.5760414004325867,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895909145354,-12634.361527951454,0.010556096064987034,-0.5760069542484416,-27.28714367095199,-1.5654871997380397e-07,-62.00799194732018,-0.010590709774649553,-0.3034014860676833,-2.7949137444399465e-05
1742794103.908555,5.458793052233939e-06,-0.5760411024093628,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.89590884733,-12634.361527951454,0.010555929203874149,-0.5760103604152391,-27.287136701195777,-1.3971415470145888e-07,-62.00799193048563,-0.010586803075782742,-0.30328956738923485,-2.7938385940829926e-05
1742794103.9895103,5.363670759263718e-06,-0.5760408043861389,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895908549308,-12634.361527951454,0.010555762348537747,-0.5760105980880326,-27.287135693233722,-1.3727956327649908e-07,-62.00799192805103,-0.01058609685338025,-0.3032693356077047,-2.793608064572129e-05
1742794104.0565557,5.574155298828572e-06,-0.5760404467582703,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,0.0,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.89590819168,-12634.361527951454,0.010555562129759413,-0.5760090550829773,-27.287137923625778,-1.4266677419320431e-07,-62.00799193343825,-0.01058709490671547,-0.3032979277296232,-2.7938184515373645e-05
1742794104.1417744,5.392692490255852e-06,-0.5760400891304016,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,-0.06866664632099369,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895907834052,-12634.361527951454,0.010555361919300087,-0.5760097193924594,-27.287136000764804,-1.3802235505752837e-07,-62.00799192879383,-0.010585864595217556,-0.37192932822245844,-2.7934408007806605e-05
1742794104.2114317,4.6484290721856695e-06,-0.5760396718978882,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,-0.06866664632099369,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.89590741682,-12634.361527951454,0.010555128350945804,-0.5760134935881069,-27.28712811422156,-1.1897343099393158e-07,-62.0079919097449,-0.010581404552585466,-0.3718015574128249,-2.7922020796455464e-05
1742794104.2786803,5.130226016873675e-06,-0.5760394334793091,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,-0.06866664632099369,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.8959071784,-12634.361527951454,0.010554994888399203,-0.5760105418594321,-27.287133219550014,-1.3130470133532745e-07,-62.007991922076165,-0.010584008643015659,-0.3718761591083851,-2.7928539281450816e-05
1742794104.3641307,4.42746899241476e-06,-0.5760390162467957,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,-0.06866664632099369,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.89590676117,-12634.361527951454,0.010554761337840885,-0.5760140823076654,-27.287125772827494,-1.1331810563674006e-07,-62.00799190408957,-0.010579785747865177,-0.37175518207366065,-2.7916778393551846e-05
1742794104.4366956,5.780064539802754e-06,-0.5760385990142822,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,-0.06866664632099369,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895906343936,-12634.361527951454,0.010554527798608238,-0.5760060477332445,-27.287140105529033,-1.4793688340464504e-07,-62.00799193870836,-0.01058724056660023,-0.37196874689893744,-2.793583121768374e-05
1742794104.5222445,5.38722852139282e-06,-0.5760382413864136,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,-0.06866664632099369,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.89590598631,-12634.361527951454,0.010554327631137991,-0.5760079024184961,-27.28713594286637,-1.378825084314136e-07,-62.007991928653986,-0.010584807518688876,-0.37189904521060063,-2.7928881616193793e-05
1742794104.5913532,5.983498250108778e-06,-0.5760378241539001,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,-0.06866664632099369,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895905569076,-12634.361527951454,0.010554094112940728,-0.5760041272078524,-27.287142261198824,-1.5314363306546178e-07,-62.0079919439151,-0.010587968518968814,-0.3719896011981407,-2.7936604053512628e-05
1742794104.6718369,5.225882735481552e-06,-0.5760375261306763,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,-0.06866664632099369,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895905271052,-12634.361527951454,0.010553927321163751,-0.5760080958061735,-27.287134233169127,-1.3375297102680173e-07,-62.007991924524426,-0.010583492987332929,-0.3718613866612339,-2.792435394808949e-05
1742794104.7533581,5.633422261935112e-06,-0.5760370492935181,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,-0.06866664632099369,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895904794215,-12634.361527951454,0.010553660466342632,-0.5760053238482215,-27.287138551642784,-1.4418367244762048e-07,-62.00799193495515,-0.010585546186656018,-0.37192020648908997,-2.7929065076188907e-05
1742794104.825383,5.519178818734962e-06,-0.5760366916656494,-27.287078857421875,-0.006408886983990669,-0.0064084893092513084,-62.007991790771484,-0.06866664632099369,,,,,,-1.0,26863.345704376985,-0.0028838201987536425,-23721.895904436587,-12634.361527951454,0.010553460334937488,-0.5760056096041808,-27.287137341065318,-1.4125968797996218e-07,-62.007991932031146,-0.010584697731979564,-0.3718959000530555,-2.7926296917937282e-05
1742794104.9070997,5.710539551850123e-06,-0.576036274433136,-27.287078857421875,0.0,0.0,-62.007991790771484,-0.06866664632099369,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,inf,inf,0.01055322685881877,inf,inf,1.3067360973801231e-09,-62.00799178946475,inf,inf,inf
1742794104.9793766,4.874180605623974e-06,-0.5760359168052673,-27.287078857421875,0.0,0.0,-62.007991790771484,12.909329508346813,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,inf,inf,0.010553026745449511,inf,inf,1.1153530563421834e-09,-62.00799178965611,inf,inf,inf
