Time (t),[Measured] Current Position ~ r(t) (m)_X,[Measured] Current Position ~ r(t) (m)_Y,[Measured] Steering Angles ~ delta(t) (deg)_FL,[Measured] Steering Angles ~ delta(t) (deg)_FR,[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle ~ Theta(t) (deg),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta(t) (deg),[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_X,[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_Y,[Computed] Current Error to Trajectory ~ e(t),[Computed] Predicted Position ~ r_tp(t) (m)_X,[Computed] Predicted Position ~ r_tp(t) (m)_Y,[Computed] Change of Yaw Angle ~ Delta_phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1741675319.5643122,-2.21546435,-31.60477066,10,10,-271.2944336,4.536751165357343,17.09374533475223,4.536751165357343,-19.281847096959734,-32.571574416529266,0.0,-2.301186328522874,-30.60859468239214,3.3518563890499666,-267.94257721095005,-0.1340454141712153,0.6966329178104668,-0.0
1741675319.5683136,-2.301186328522874,-30.60859468239214,0.6966329178104668,0.6966329178104668,-267.94257721095005,0.3134971328965641,247.11372874521206,0.3134971328965641,-249.2033746290926,-40.831331436914326,0.1340454141712153,-2.344576391080892,-29.60953715761696,0.23185996101478218,-267.7107172499353,-0.26100289329690735,-7.163684980411515,-0.008746560232967365
1741675319.573315,-2.344576391080892,-29.60953715761696,-7.163684980411515,-7.163684980411515,-267.7107172499353,-3.2371131121681644,23.944263250714844,-3.2371131121681644,21.596410605764778,-30.005623305317208,0.26100289329690735,-2.307163256636688,-28.610309998474996,-2.392881289065003,-270.1035985390003,-0.30602968344334575,-12.004217745682324,-0.019968658203362476
1741675319.577312,-2.307163256636688,-28.610309998474996,-12.004217745682324,-12.004217745682324,-270.1035985390003,-5.465710868735552,14.195167322544103,-5.465710868735552,11.820996171294631,-29.987948011154415,0.30602968344334575,-2.1751512290695914,-27.619270476684655,-4.036287717587368,-274.1398862565877,-0.2937739452784246,-13.881714466416016,-0.022475886869364765
1741675319.5813138,-2.1751512290695914,-27.619270476684655,-13.881714466416016,-13.881714466416016,-274.1398862565877,-6.345864545521763,12.232796661914866,-6.345864545521763,9.853360154317933,-29.8455292378066,0.2937739452784246,-1.9531941017694034,-26.644499595672446,-4.6837841825218,-278.82367043910955,-0.20162101293288887,-12.121881096625323,-0.014807750105081757
1741675319.5863125,-1.9531941017694034,-26.644499595672446,-12.121881096625323,-12.121881096625323,-278.82367043910955,-5.520570230893273,14.05453651127163,-5.520570230893273,11.663188346529115,-30.126471101635047,0.20162101293288887,-1.6712038451837952,-25.685302176199638,-4.0766751338353675,-282.9003455729449,-0.05886923607595078,-7.207049616048907,-0.002967318752054641
1741675319.5903108,-1.6712038451837952,-25.685302176199638,-7.207049616048907,-7.207049616048907,-282.9003455729449,-3.2568737497503384,23.799139781522292,-3.2568737497503384,21.18791109931142,-32.30798428353293,0.05886923607595078,-1.3728353416388401,-24.730928498626305,-2.407472708638272,-285.30781828158314,0.08376403685468733,-0.8572108563744048,0.0012327812150683076
1741675319.5943127,-1.3728353416388401,-24.730928498626305,-0.8572108563744048,-0.8572108563744048,-285.30781828158314,-0.385767839810888,200.81934321913118,-0.385767839810888,191.960370887694,-79.05109031769186,0.08376403685468733,-1.099946801762826,-23.76888391627177,-0.28531006323709557,-285.59312834482023,0.17437319349044905,4.609656183799517,0.003651550651500875
1741675319.5983133,-1.099946801762826,-23.76888391627177,4.609656183799517,4.609656183799517,-285.59312834482023,2.077921020251957,37.29017744459149,2.077921020251957,-37.357481877191184,-15.054041169371384,0.17437319349044905,-0.8793076417299517,-22.79355913216805,1.5364844964392201,-284.056643848381,0.1776130196173189,7.166159225575291,0.007742737359038418
1741675319.6023116,-0.8793076417299517,-22.79355913216805,7.166159225575291,7.166159225575291,-284.056643848381,3.2382405093551276,23.9359359010408,3.2382405093551276,-24.389830474612893,-18.300860212451344,0.1776130196173189,-0.712180271659907,-21.807697580413297,2.3937137762217584,-281.6629300721592,0.08403109844249614,5.645554153656815,0.003731254284032981
