Time (t),[Measured] Speed,[Measured] Current Position ~ r(t) (m)_X,[Measured] Current Position ~ r(t) (m)_Y,[Measured] Steering Angles ~ delta(t) (deg)_FL,[Measured] Steering Angles ~ delta(t) (deg)_FR,[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle ~ Theta(t) (deg),[Computed] Rotation direction ~ (CW/CCW),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta(t) (deg),[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_X,[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_Y,[Computed] Current Error to Trajectory ~ e(t),[Computed] Predicted Position ~ r_tp(t) (m)_X,[Computed] Predicted Position ~ r_tp(t) (m)_Y,[Computed] Change of Yaw Angle ~ Delta_phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1742311687.5165102,4.608106209171109e-06,1.036085605621338,-18.3299560546875,0.0,0.0,49.972434997558594,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300761.8249600176,1932436.184674839,0.003914641048958688,1.0361033887602389,-18.32993488223292,5.272337814501674e-10,49.97243499808583,0.0038971553057868084,0.11164527556429994,3.813991033550047e-06
1742311687.566021,4.77719488017285e-06,1.036085605621338,-18.3299560546875,0.0,0.0,49.972434997558594,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300761.8249600176,1932436.184674839,0.003914641048958688,1.0361040406860411,-18.329934105509892,5.465799630193346e-10,49.97243499810517,0.0038965165288818685,0.1116269759539482,3.8133658879767457e-06
1742311687.6092744,4.8263055883601595e-06,1.036085605621338,-18.3299560546875,0.0,0.0,49.972434997558594,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300761.8249600176,1932436.184674839,0.003914641048958688,1.0361042306758463,-18.329933879897,5.52198936022986e-10,49.97243499811079,0.003896330388331779,0.11162164341999002,3.8131837196171818e-06
1742311687.6554532,4.815042086001078e-06,1.036085605621338,-18.3299560546875,0.0,0.0,49.972434997558594,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300761.8249600176,1932436.184674839,0.003914641048958688,1.0361041869036853,-18.329933931818232,5.509102289768393e-10,49.972434998109506,0.0038963732734504626,0.11162287198814226,3.8132256895786786e-06
1742311687.705301,4.872404324917685e-06,1.036085605621338,-18.3299560546875,0.0,0.0,49.972434997558594,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300761.8249600176,1932436.184674839,0.003914641048958688,1.0361044080927968,-18.329933668253943,5.574732960511745e-10,49.97243499811607,0.0038961565943891456,0.1116166645902811,3.813013634391708e-06
1742311687.752605,4.7710579458995636e-06,1.036085605621338,-18.3299560546875,0.0,0.0,49.972434997558594,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300761.8249600176,1932436.184674839,0.003914641048958688,1.0361040169373155,-18.329934134380892,5.458778092675447e-10,49.97243499810447,0.0038965397860801216,0.1116276422235998,3.8133886488724872e-06
1742311687.7980554,4.79108762092135e-06,1.036085605621338,-18.3299560546875,0.0,0.0,49.972434997558594,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300761.8249600176,1932436.184674839,0.003914641048958688,1.0361040942370892,-18.329934042179957,5.48169492840709e-10,49.97243499810676,0.0038964640570017823,0.11162547274531218,3.8133145358328205e-06
1742311687.8420043,4.545438453457688e-06,1.036085605621338,-18.3299560546875,0.0,0.0,49.972434997558594,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300761.8249600176,1932436.184674839,0.003914641048958688,1.0361031466163695,-18.329935170477256,5.200636867691844e-10,49.97243499807866,0.0038973926105194782,0.11165207384412018,3.8142232742619523e-06
1742311687.8893492,4.481630781195504e-06,1.036085605621338,-18.3299560546875,0.0,0.0,49.972434997558594,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300761.8249600176,1932436.184674839,0.003914641048958688,1.0361029002815485,-18.329935463611037,5.127631692018223e-10,49.97243499807136,0.003897634046579445,0.11165899047774935,3.814459558139713e-06
1742311687.9352117,4.722884630608659e-06,1.036085605621338,-18.3299560546875,0.0,0.0,49.972434997558594,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300761.8249600176,1932436.184674839,0.003914641048958688,1.0361038316041231,-18.32993435487151,5.403660875248326e-10,49.972434998098954,0.0038967213721183844,0.11163284428040528,3.8135663599123123e-06
