Time (t),[Measured] Speed,[Measured] Current Position ~ r(t) (m)_X,[Measured] Current Position ~ r(t) (m)_Y,[Measured] Steering Angles ~ delta(t) (deg)_FL,[Measured] Steering Angles ~ delta(t) (deg)_FR,[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle ~ Theta(t) (deg),[Computed] Rotation direction ~ (CW/CCW),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta(t) (deg),[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_X,[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_Y,[Computed] Current Error to Trajectory ~ e(t),[Computed] Predicted Position ~ r_tp(t) (m)_X,[Computed] Predicted Position ~ r_tp(t) (m)_Y,[Computed] Change of Yaw Angle ~ Delta_phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1741781073.9129646,3.828650883613376e-06,1.0362610816955566,-18.329740524291992,0.0,0.0,49.9696159362793,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300666.7415637206,1932549.3844580885,0.003747911115587874,1.0362635445781052,-18.329737591790035,7.300880924440551e-11,49.969615936352305,0.003745658445248736,0.10730521020514316,3.509598730535833e-06
1741781073.9970524,3.835261242668556e-06,1.0362610816955566,-18.329740524291992,0.0,0.0,49.9696159362793,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300666.7415637206,1932549.3844580885,0.003747911115587874,1.0362635478377342,-18.329737587831914,7.313486263970522e-11,49.96961593635243,0.003745655470923527,0.10730512499700247,3.5095959436592047e-06
1741781074.079798,3.886715950651921e-06,1.0362610816955566,-18.329740524291992,0.0,0.0,49.9696159362793,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300666.7415637206,1932549.3844580885,0.003747911115587874,1.0362635818310082,-18.329737547785044,7.41160560349982e-11,49.96961593635341,0.003745624367005706,0.10730423393539373,3.50956679997937e-06
1741781074.163295,3.5595025565639125e-06,1.0362610816955566,-18.329740524291992,0.0,0.0,49.9696159362793,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300666.7415637206,1932549.3844580885,0.003747911115587874,1.0362633713521063,-18.329737798310816,6.787640112850548e-11,49.969615936347175,0.0037458167838363126,0.10730974627154426,3.5097470902739342e-06
1741781074.2443862,3.905700991242977e-06,1.0362610816955566,-18.329740524291992,0.0,0.0,49.9696159362793,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300666.7415637206,1932549.3844580885,0.003747911115587874,1.0362635934725404,-18.329737533815205,7.447808309077967e-11,49.96961593635377,0.0037456137329686078,0.10730392929267128,3.509556836122909e-06
1741781074.3301857,3.536024593677374e-06,1.0362610816955566,-18.329740524291992,0.0,0.0,49.9696159362793,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300666.7415637206,1932549.3844580885,0.003747911115587874,1.0362633559852839,-18.329737816704437,6.74286982258546e-11,49.96961593634672,0.003745830825489265,0.10731014853527003,3.5097602469907294e-06
1741781074.4092832,4.190840473582245e-06,1.0362610816955566,-18.329740524291992,0.0,0.0,49.9696159362793,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300666.7415637206,1932549.3844580885,0.003747911115587874,1.0362637769430876,-18.3297373149544,7.991542765600392e-11,49.96961593635921,0.003745446056771505,0.10729912572346188,3.5093997272521738e-06
1741781074.4803126,3.74370449042637e-06,1.0362610816955566,-18.329740524291992,0.0,0.0,49.9696159362793,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300666.7415637206,1932549.3844580885,0.003747911115587874,1.0362634896300733,-18.329737657215446,7.138896058107238e-11,49.969615936350685,0.0037457086754279878,0.10730664919378081,3.509645795097622e-06
1741781074.5645888,3.7050294936915883e-06,1.0362610816955566,-18.329740524291992,0.0,0.0,49.9696159362793,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300666.7415637206,1932549.3844580885,0.003747911115587874,1.036263464950025,-18.329737686784938,7.065146438594454e-11,49.969615936349946,0.0037457312240050823,0.10730729516293158,3.509666922613305e-06
1741781074.6386397,3.5405831290212793e-06,1.0362610816955566,-18.329740524291992,0.0,0.0,49.9696159362793,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300666.7415637206,1932549.3844580885,0.003747911115587874,1.0362633592449129,-18.329737812513486,6.751562525249512e-11,49.96961593634681,0.003745827867196023,0.10731006378641138,3.5097574751356983e-06
