Time (t),[Measured] Speed ~ V(t) (m/s),[Measured] Current Position ~ X(t) (m),[Measured] Current Position ~ Y(t) (m),[Measured] Steering Angle FL ~ delta_fl(t) (deg),[Measured] Steering Angle FR ~ delta_fr(t) (deg),[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle SWA ~ Theta(t) (deg),[Measured] VelocityX ~ Vx(t) (m/s),[Measured] VelocityY ~ Vy(t) (m/s),[Measured] AccelerationX ~ Ax(t) (m/s^2),[Measured] AccelerationY ~ Ay(t) (m/s^2),[Measured] Angular VelocityZ ~ Phi_dot(t) (rad/s^2),[Computed] Rotation direction ~ rotate(t) (CW/CCW),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta_v(t) (deg),[Computed] Center of Rotation to WORLD ~ X_c(t) (m),[Computed] Center of Rotation to WORLD ~ Y_c(t) (m),[Computed] Current Error to Trajectory ~ e(t) (m),[Computed] Predicted Position ~ X_tp(t) (m),[Computed] Predicted Position ~ Y_tp(t) (m),[Computed] Change of Yaw Angle ~ Delta_Phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t) (m),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1742875721.1363592,4.926207458605444e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.1272583003575147e-09,49.97069168203546,inf,inf,inf
1742875721.1750066,5.05586054463361e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.1569266646357806e-09,49.97069168206513,inf,inf,inf
1742875721.2246532,4.8025862660664585e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.098970207222859e-09,49.97069168200717,inf,inf,inf
1742875721.2682586,4.313288546881089e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.870047815008473e-10,49.970691681895204,inf,inf,inf
1742875721.317704,4.449562949427551e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,0.0,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.0181882939061994e-09,49.9706916819264,inf,inf,inf
1742875721.3610516,-4.683201868220976e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.17853328043458358,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,-1.0716516148705586e-09,49.970691679836555,-inf,-inf,-inf
1742875721.4049706,2.8129488743173064e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.17853328043458358,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,6.436838061938147e-10,49.970691681551884,inf,inf,inf
1742875721.4548507,4.052146310119236e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.08239997558519242,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.272479084017471e-10,49.97069168183545,inf,inf,inf
1742875721.5030658,2.1443158567674215e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,4.90681293559162e-10,49.97069168139888,inf,inf,inf
1742875721.549888,4.876337577175914e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,1.1158466336236906e-09,49.97069168202405,inf,inf,inf
1742875721.5974905,4.10996938998811e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,9.404794962473952e-10,49.97069168184868,inf,inf,inf
1742875721.6430476,2.13021196475335e-06,1.036170244216919,-18.329864501953125,0.0,0.0,49.9706916809082,-0.16479995117038485,,,,,,1.0,3004644.769999303,2.5783100780893895e-05,-inf,inf,0.00383215201665455,-inf,inf,4.874539164188763e-10,49.97069168139566,inf,inf,inf
