Time (t),[Measured] Speed,[Measured] Current Position ~ r(t) (m)_X,[Measured] Current Position ~ r(t) (m)_Y,[Measured] Steering Angles ~ delta(t) (deg)_FL,[Measured] Steering Angles ~ delta(t) (deg)_FR,[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle ~ Theta(t) (deg),[Computed] Rotation direction ~ (CW/CCW),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta(t) (deg),[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_X,[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_Y,[Computed] Current Error to Trajectory ~ e(t),[Computed] Predicted Position ~ r_tp(t) (m)_X,[Computed] Predicted Position ~ r_tp(t) (m)_Y,[Computed] Change of Yaw Angle ~ Delta_phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1742369180.194607,4.576339222261776e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.036098645068705,-18.329943323973566,1.7453306006343118e-10,49.97139740007688,0.0039017665834736415,0.11177737893910913,3.8115943042368488e-06
1742369180.2433703,4.596782659044698e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360986716113985,-18.329943291842937,1.753127346912603e-10,49.971397400077656,0.003901740510437081,0.11177663200163214,3.8115688337645586e-06
1742369180.2874486,3.611238039320264e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360974040813744,-18.32994480105117,1.3772589727483663e-10,49.97139740004007,0.0039029862705401877,0.11181232039972903,3.8127858035683286e-06
1742369180.3335323,4.59366607809343e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360986669547856,-18.329943297198042,1.751938740946257e-10,49.971397400077535,0.0039017450887304157,0.11177676316007486,3.8115733062506553e-06
1742369180.3823164,4.362358834559717e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360983703285456,-18.32994365086779,1.66372246355058e-10,49.971397400068724,0.003902036560294445,0.11178511320530835,3.811858041723558e-06
1742369180.4291124,4.495258856122876e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360985402949154,-18.32994344830513,1.7144080581259974e-10,49.97139740007378,0.003901869542231169,0.11178032849024426,3.811694883552748e-06
1742369180.4752986,4.00223433420742e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360979069955647,-18.329944202443585,1.5263776820611602e-10,49.97139740005498,0.0039024919196027695,0.11179815828857283,3.81230287739193e-06
1742369180.5224495,4.6024981687829444e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360986785963178,-18.329943283926696,1.7553071359448186e-10,49.971397400077876,0.0039017336413189785,0.111776435215894,3.8115621233960946e-06
1742369180.5671465,4.8551348423889765e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360990036278963,-18.329942896496505,1.8516580609684986e-10,49.97139740008751,0.003901414295518703,0.1117672866326135,3.8112501578780735e-06
1742369180.612993,4.811577384015836e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360989482142031,-18.329942962853238,1.8350460570736203e-10,49.97139740008585,0.003901468732615945,0.11176884614057396,3.811303336899767e-06
1742369180.6600056,4.846734515120988e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.036098993383348,-18.32994290883653,1.8484543325025575e-10,49.97139740008719,0.0039014243583734096,0.11176757491216578,3.81125998817388e-06
1742369180.7055058,4.579185580522397e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.036098648328334,-18.329943319549784,1.7464161486960605e-10,49.97139740007699,0.0039017633884497827,0.11177728740841786,3.8115911830520006e-06
1742369180.754069,4.59988766182008e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.03609867580235,-18.329943286953494,1.7543115371781686e-10,49.97139740007778,0.003901736390994803,0.1117765139883039,3.8115648095251822e-06
1742369180.8024375,4.683191415894544e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360987824387848,-18.329943160526454,1.786082038461511e-10,49.97139740008095,0.00390163160558331,0.11177351210738735,3.8114624457704395e-06
1742369180.8463051,4.645224429312488e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.036098734010011,-18.329943217569962,1.7716021364531136e-10,49.97139740007951,0.003901679198627979,0.11177487554768421,3.8115089389099187e-06
1742369180.9003735,4.226911356160927e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360981952399015,-18.329943859018385,1.6120653163534965e-10,49.97139740006356,0.003902208630473737,0.11179004265283508,3.812026135252806e-06
1742369180.942896,5.061467240738217e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.03609926905483,-18.329942581010982,1.9303493972639788e-10,49.971397400095384,0.003901153527728196,0.111759816185699,3.81099541659518e-06
1742369180.990176,4.786806879881887e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360989160835743,-18.329943001037464,1.825599047846723e-10,49.9713974000849,0.0039015003017718237,0.11176975053027127,3.811334176472602e-06
1742369181.033128,4.424729784985327e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.036098450422287,-18.329943555640057,1.6875095831414793e-10,49.9713974000711,0.0039019578512744187,0.11178285835797978,3.811781151718478e-06
1742369181.081451,4.9567620517336e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360991340130568,-18.329942741431296,1.890416787040072e-10,49.971397400091384,0.0039012861971125397,0.11176361688359575,3.811125019906627e-06
1742369181.132258,5.114375022200601e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360993365757167,-18.32994250021875,1.9505274403488913e-10,49.971397400097395,0.003901087204150305,0.11175791615515132,3.810930625796879e-06
1742369181.1770816,4.75363989102e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360988732427359,-18.329943052027375,1.8129497756271386e-10,49.971397400083646,0.003901542393442424,0.1117709563678103,3.8113752953782272e-06
1742369181.2243133,4.314195962170605e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.036098307929933,-18.329943725140765,1.6453540404699111e-10,49.971397400066884,0.003902097880551579,0.11178686990127455,3.8119179448309903e-06
1742369181.2689745,4.674621347841747e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360987717285752,-18.329943172400817,1.7828135740196044e-10,49.971397400080626,0.003901642141687633,0.11177381394454246,3.811472738378766e-06
1742369181.315184,4.381577092983911e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360983940772712,-18.32994362199679,1.671051949606919e-10,49.971397400069456,0.003902013231079347,0.1117844448725261,3.8118352516612906e-06
1742369181.3683302,4.768034704794341e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360988923348486,-18.32994302920997,1.8184396896720973e-10,49.97139740008419,0.003901523636480912,0.11177041902044474,3.81135697190189e-06
1742369181.417842,4.23128223517008e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360982012934983,-18.329943852033466,1.6137322882530522e-10,49.97139740006372,0.0039022026780018092,0.11178987212707552,3.8120203203462477e-06
1742369181.458005,4.677746661566462e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360987754538655,-18.329943168442696,1.7840055105032005e-10,49.97139740008075,0.0039016384744447762,0.11177370888577338,3.8114691558881978e-06
1742369181.5068693,4.428527445268074e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360984546132386,-18.329943550750613,1.6889579400880202e-10,49.97139740007124,0.0039019537314934666,0.11178274033494924,3.8117771271482543e-06
1742369181.5490723,4.953149610115766e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360991298221052,-18.32994274632074,1.8890390690448804e-10,49.971397400091256,0.0039012903158542568,0.1117637348768544,3.8111290434616328e-06
1742369181.5951812,4.8582621636547825e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.036099007818848,-18.32994289160706,1.852850763090901e-10,49.97139740008763,0.0039014101765841047,0.11176716863382921,3.811246134134644e-06
1742369181.6406133,4.516434739236311e-06,1.036092758178711,-18.3299503326416,0.0,0.0,49.971397399902344,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300726.8287994275,1932477.8500181583,0.003907557484736553,1.0360985677689314,-18.32994341570884,1.722484145801829e-10,49.97139740007459,0.0039018425436743573,0.11177955503856513,3.811668508949561e-06
