Desired Steering Angle, Acceleration Pedal, Steering Wheel Angle
103.06519228922366,0.0,0.0
105.61959372666983,1.0,0.009277626880703146
124.72265912178092,1.0,0.0554521317178869
150.77547292356536,1.0,0.11572618793298135
181.6229927547286,1.0,0.18625446333201087
210.18270721358442,1.0,0.24985503707998902
241.43113821733988,1.0,0.31467635120700704
271.29476927792456,1.0,0.3861201818903165
300.4080257260864,1.0,0.4510940885647145
332.5019035083922,1.0,0.52241584521012
362.79758752384555,1.0,0.5876033814508499
392.2529141452648,1.0,0.6534318063905759
424.16806343382336,1.0,0.7244788964506973
450.0,1.0,0.793572801904355
450.0,1.0,0.8598590044862209
450.0,1.0,0.9296243171483505
450.0,1.0,0.9988097781304361
450.0,1.0,1.0
450.0,1.0,0.9718008972441786
450.0,1.0,0.9768364513077181
450.0,1.0,0.9978331858272041
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,0.9987792596209601
450.0,1.0,0.999633777886288
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
450.0,1.0,1.0
