Time (t),[Measured] Speed,[Measured] Current Position ~ r(t) (m)_X,[Measured] Current Position ~ r(t) (m)_Y,[Measured] Steering Angles ~ delta(t) (deg)_FL,[Measured] Steering Angles ~ delta(t) (deg)_FR,[Measured] Current Yaw Angle ~ Phi(t) (deg),[Measured] Steering Wheel Angle ~ Theta(t) (deg),[Computed] Rotation direction ~ (CW/CCW),[Computed] Turning Radius ~ R(delta) (m),[Computed] Vehicle Steering Angle ~ Delta(t) (deg),[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_X,[Computed] Center of Rotation to WORLD ~ r_c(t) (m)_Y,[Computed] Current Error to Trajectory ~ e(t),[Computed] Predicted Position ~ r_tp(t) (m)_X,[Computed] Predicted Position ~ r_tp(t) (m)_Y,[Computed] Change of Yaw Angle ~ Delta_phi(t) (deg),[Computed] Predicted Yaw Angle ~ Phi_tp(t) (deg),[Computed] Predicted Error to Trajectory ~ eps_tp(t),[Computed] Desired Steering Wheel Angle ~ Theta_d(t) (deg),[Computed] Torque applied ~ Tau_das (N.m)
1742551577.9443054,0.4486417287188894,1.2073299884796143,-18.126203536987305,0.0,0.0,49.97768020629883,0.0,1.0,3004644.769999303,2.5783100780893895e-05,-2300938.552869351,1932225.7543193044,0.263689824189467,3.5224366122856736,-15.369342763675377,6.864864968618045e-05,49.977748854948516,3.8636747799236053,110.68612915037988,0.2547029308608333
1742551578.0559647,0.43324450031820483,1.2321813106536865,-18.09661865234375,0.0,0.01144375093281269,49.977760314941406,22.26172673726615,1.0,15043.447176884638,0.005149687974376931,-11519.832162554394,9655.081729142132,0.3023251719563149,3.546709263253433,-15.339272048304338,0.013711272677185147,49.99147158761859,3.9023127772558532,134.0547529756338,0.29494184535280016
1742551578.166062,0.3768677247424618,1.2599189281463623,-18.063444137573242,2.400455951690674,3.278653860092163,49.98300552368164,70.97384563737907,1.0,71.68777158557482,1.0807094565183104,-54.5020778293561,26.989150821228357,0.3455667269155359,3.4511127636789,-15.207582405324963,2.8772662573403447,52.860271781021986,3.9449913047700793,183.98952162694576,0.3408144332249114
1742551578.2774127,0.2724668464550485,1.2814713716506958,-18.03640365600586,6.497900009155273,7.750525951385498,50.03581619262695,116.4860988189337,1.0,26.41465246649004,2.9340885212392047,-19.805855215892063,-2.1285904085553895,0.3801410745152294,3.2472704165412907,-15.02383230239719,7.808726861304214,57.84454305393117,3.975272007851867,230.36925305213805,0.3777910431387806
1742551578.3896494,0.3323873186811982,1.3066444396972656,-18.002166748046875,10.137600898742676,12.042691230773926,50.17763137817383,163.72875148777732,1.0,16.85840575435711,4.600218690661913,-12.465358017540913,-8.279112037907339,0.422580049585435,3.054378315652677,-14.862699868770669,12.235131201168683,62.412762579342505,4.009973840138442,278.60603998667744,0.4236337360505001
1742551578.5002465,0.39873928006285747,1.3289238214492798,-17.968730926513672,13.620657920837402,16.33293914794922,50.331993103027344,210.9164708395642,1.0,12.47364620890096,6.222845424945039,-9.079257539449571,-11.094022896097613,0.4625930371920053,2.8551196431163195,-14.72203764373576,16.536047503087723,66.86804060611507,4.038818104724018,326.6200866504204,0.46708228343258557
1742551578.6112187,0.43978794575090446,1.3477647304534912,-17.938589096069336,16.688631057739258,20.67391586303711,50.51994705200195,256.71712393566696,1.0,10.11302075803661,7.683335406297965,-7.247523005141163,-12.60996661039675,0.49791728733488283,2.665953438512748,-14.609009794922375,20.395963894683195,70.91591094668516,4.060725635954126,373.0483442860413,0.5054763733163739
1742551578.7219687,0.46343314792815704,1.378061294555664,-17.885913848876953,19.754913330078125,25.11643409729004,50.932552337646484,304.59150975066376,1.0,8.474924402808742,9.180202037605417,-5.969763366535807,-13.662903502787433,0.5581200126280472,2.4654464292666693,-14.482402943983745,24.33824733336105,75.27079967100752,4.103157397440907,422.1383105262872,0.5725135646186462
1742551578.8330786,0.4532490287851451,1.3966439962387085,-17.850492477416992,22.652414321899414,29.347671508789062,51.256710052490234,350.36469618823816,1.0,7.3254855787566235,10.636264628445254,-5.0649405213483565,-14.399309421325874,0.5975971923183776,2.2605422539894313,-14.392900614833998,28.157151362805127,79.41386141529536,4.121950383307409,468.4498763511614,0.6158164939850417
1742551578.9440408,0.43390334716185686,1.4176777601242065,-17.806673049926758,25.41888427734375,33.696956634521484,51.70725631713867,394.5860164189581,1.0,6.465349376584606,12.07129706458097,-4.382342198802911,-14.950012230482134,0.6453770891234035,2.051244793387892,-14.309933348455667,31.90311833636098,83.61037465349966,4.145304803631811,513.3402514406627,0.6688211869242897
1742551579.0557697,0.41335115896390734,1.4358832836151123,-17.764373779296875,27.94424057006836,37.71788787841797,52.19497299194336,431.54240546891685,1.0,5.82334779681143,13.425706977025529,-3.8682123407475455,-15.360637277463642,0.6904032124728141,1.8473476931156618,-14.245400503529895,35.420313785832356,87.61528677777572,4.163623823563195,550.8214417540636,0.7186448158290926
1742551579.1660666,0.39362430101448215,1.4515610933303833,-17.723588943481445,29.94822883605957,40.78559494018555,52.710853576660156,450.0,1.0,5.387499054041296,14.534803941808232,-3.5166378523992865,-15.63980745471002,0.7328825983820657,1.6741286019745267,-14.197209217693432,38.28581762670975,90.99667120336991,4.181157583033709,569.7813414934758,0.7660744084246556
1742551579.2779744,0.37551381030012493,1.4652013778686523,-17.68428611755371,30.828855514526367,41.741092681884766,53.240657806396484,450.0,1.0,5.212970543990728,15.032705960397381,-3.3774427600006582,-15.754555658014091,0.7731381698799111,1.5848387252822427,-14.157425621563235,39.56761399407271,92.80827180046919,4.207995506194621,570.5501913574841,0.8133404861305499
1742551579.3887544,0.3563609664815021,1.480103850364685,-17.638986587524414,30.835460662841797,41.75214385986328,53.85847854614258,450.0,1.0,5.211697050849705,15.036465953153774,-3.3820017704847274,-15.76236326849098,0.8192624337335216,1.561174843696877,-14.111063443854762,39.577282454180136,93.43576100032271,4.251005631904184,571.7823406972267,0.8706723049521824
